x z p
-0.098597 0.070580 101325.070312
-0.096994 0.070507 101325.070312
-0.095390 0.070433 101325.070312
-0.093787 0.070357 101325.070312
-0.092184 0.070279 101325.070312
-0.090581 0.070200 101325.070312
-0.088978 0.070119 101325.070312
-0.087374 0.070038 101325.070312
-0.085771 0.069954 101325.070312
-0.084168 0.069868 101325.070312
-0.082565 0.069782 101324.992188
-0.080962 0.069694 101324.992188
-0.079358 0.069604 101324.992188
-0.077755 0.069513 101324.992188
-0.076152 0.069421 101324.992188
-0.074549 0.069326 101324.992188
-0.072946 0.069231 101324.992188
-0.071342 0.069134 101324.992188
-0.069739 0.069036 101324.992188
-0.068136 0.068937 101324.992188
-0.066533 0.068836 101324.992188
-0.064930 0.068734 101324.992188
-0.063326 0.068630 101324.992188
-0.061723 0.068525 101324.992188
-0.060120 0.068418 101324.992188
-0.058517 0.068310 101324.992188
-0.056914 0.068202 101324.992188
-0.055310 0.068091 101324.992188
-0.053707 0.067979 101324.992188
-0.052104 0.067866 101324.992188
-0.050501 0.067752 101324.992188
-0.048898 0.067636 101324.992188
-0.047294 0.067519 101324.992188
-0.045691 0.067401 101324.992188
-0.044088 0.067282 101324.992188
-0.042485 0.067161 101324.992188
-0.040882 0.067039 101324.945312
-0.039278 0.066916 101324.945312
-0.037675 0.066791 101324.945312
-0.036072 0.066666 101324.945312
-0.034469 0.066538 101324.945312
-0.032866 0.066410 101324.945312
-0.031262 0.066281 101324.945312
-0.029659 0.066150 101324.945312
-0.028056 0.066018 101324.945312
-0.026453 0.065886 101324.945312
-0.024850 0.065751 101324.945312
-0.023246 0.065616 101324.945312
-0.021643 0.065479 101324.945312
-0.020040 0.065342 101324.945312
-0.018437 0.065203 101324.945312
-0.016834 0.065063 101324.945312
-0.015230 0.064922 101324.945312
-0.013627 0.064780 101324.945312
-0.012024 0.064637 101324.945312
-0.010421 0.064493 101324.945312
-0.008818 0.064347 101324.945312
-0.007214 0.064201 101324.945312
-0.005611 0.064053 101324.945312
-0.004008 0.063904 101324.945312
-0.002405 0.063754 101324.945312
-0.000802 0.063604 101324.945312
0.000802 0.063452 101324.945312
0.002405 0.063299 101324.945312
0.004008 0.063146 101324.945312
0.005611 0.062990 101324.945312
0.007214 0.062834 101324.945312
0.008818 0.062678 101324.945312
0.010421 0.062519 101324.945312
0.012024 0.062361 101324.945312
0.013627 0.062201 101324.945312
0.015230 0.062039 101324.945312
0.016834 0.061878 101324.945312
0.018437 0.061714 101324.945312
0.020040 0.061550 101324.945312
0.021643 0.061386 101324.945312
0.023246 0.061220 101324.945312
0.024850 0.061053 101324.945312
0.026453 0.060885 101324.945312
0.028056 0.060716 101324.945312
0.029659 0.060546 101324.945312
0.031262 0.060376 101324.945312
0.032866 0.060204 101324.945312
0.034469 0.060032 101324.945312
0.036072 0.059858 101324.945312
0.037675 0.059684 101324.945312
0.039278 0.059509 101324.945312
0.040882 0.059332 101324.945312
0.042485 0.059155 101325.062500
0.044088 0.058977 101325.062500
0.045691 0.058798 101325.062500
0.047294 0.058618 101325.062500
0.048898 0.058437 101325.062500
0.050501 0.058255 101325.062500
0.052104 0.058073 101325.062500
0.053707 0.057890 101325.062500
0.055310 0.057705 101325.062500
0.056914 0.057520 101325.062500
0.058517 0.057334 101325.062500
0.060120 0.057147 101325.062500
0.061723 0.056959 101325.062500
0.063326 0.056770 101325.062500
0.064930 0.056582 101325.062500
0.066533 0.056391 101325.062500
0.068136 0.056200 101325.062500
0.069739 0.056008 101325.062500
0.071342 0.055815 101325.062500
0.072946 0.055622 101325.062500
0.074549 0.055427 101325.062500
0.076152 0.055232 101325.062500
0.077755 0.055036 101325.062500
0.079358 0.054839 101325.062500
0.080962 0.054642 101325.062500
0.082565 0.054443 101325.062500
0.084168 0.054244 101324.937500
0.085771 0.054044 101324.937500
0.087374 0.053843 101324.937500
0.088978 0.053642 101324.937500
0.090581 0.053439 101324.937500
0.092184 0.053236 101324.937500
0.093787 0.053032 101324.937500
0.095390 0.052827 101324.937500
0.096994 0.052622 101324.937500
0.098597 0.052416 101324.937500
0.100201 0.052209 101324.937500
0.101804 0.052001 101324.937500
0.103407 0.051793 101324.937500
0.105010 0.051583 101324.937500
0.106614 0.051374 101324.937500
0.108217 0.051162 101324.937500
0.109820 0.050951 101324.937500
0.111423 0.050739 101324.937500
0.113026 0.050526 101324.937500
0.114630 0.050312 101324.937500
0.116233 0.050098 101324.937500
0.117836 0.049882 101324.937500
0.119439 0.049666 101324.937500
0.121042 0.049450 101324.937500
0.122646 0.049233 101324.937500
0.124249 0.049014 101324.937500
0.125852 0.048796 101324.898438
0.127455 0.048576 101324.898438
0.129058 0.048356 101324.898438
0.130662 0.048135 101324.898438
0.132265 0.047914 101324.898438
0.133868 0.047691 101324.898438
0.135471 0.047468 101324.898438
0.137074 0.047244 101324.898438
0.138678 0.047019 101324.898438
0.140281 0.046794 101324.898438
0.141884 0.046568 101324.898438
0.143487 0.046342 101324.898438
0.145090 0.046114 101324.898438
0.146694 0.045886 101324.898438
0.148297 0.045658 101324.898438
0.149900 0.045429 101324.898438
0.151503 0.045198 101324.898438
0.153106 0.044968 101324.898438
0.154710 0.044736 101324.898438
0.156313 0.044504 101324.898438
0.157916 0.044271 101324.898438
0.159519 0.044038 101324.898438
0.161122 0.043804 101324.898438
0.162726 0.043570 101324.898438
0.164329 0.043334 101324.898438
0.165932 0.043098 101324.898438
0.167535 0.042861 101325.054688
0.169138 0.042624 101325.054688
0.170742 0.042386 101325.054688
0.172345 0.042147 101325.054688
0.173948 0.041908 101325.054688
0.175551 0.041668 101324.976562
0.177154 0.041427 101324.976562
0.178758 0.041186 101324.976562
0.180361 0.040944 101324.976562
0.181964 0.040701 101324.976562
0.183567 0.040458 101324.976562
0.185170 0.040214 101324.976562
0.186774 0.039969 101324.976562
0.188377 0.039724 101324.976562
0.189980 0.039478 101324.976562
0.191583 0.039231 101324.976562
0.193186 0.038984 101324.976562
0.194790 0.038736 101324.976562
0.196393 0.038488 101324.976562
0.197996 0.038238 101324.976562
0.199599 0.037989 101324.976562
0.201202 0.037738 101324.976562
0.202806 0.037487 101324.976562
0.204409 0.037235 101324.976562
0.206012 0.036982 101324.976562
0.207615 0.036730 101324.976562
0.209218 0.036476 101325.164062
0.210822 0.036222 101325.164062
0.212425 0.035966 101325.164062
0.214028 0.035711 101325.164062
0.215631 0.035454 101325.164062
0.217234 0.035198 101325.164062
0.218838 0.034940 101325.164062
0.220441 0.034682 101325.164062
0.222044 0.034423 101325.164062
0.223647 0.034163 101325.164062
0.225250 0.033903 101325.164062
0.226854 0.033642 101325.164062
0.228457 0.033381 101325.164062
0.230060 0.033119 101325.164062
0.231663 0.032856 101325.164062
0.233266 0.032593 101325.164062
0.234870 0.032329 101325.164062
0.236473 0.032064 101325.164062
0.238076 0.031799 101325.164062
0.239679 0.031534 101325.164062
0.241282 0.031266 101325.164062
0.242886 0.030999 101325.164062
0.244489 0.030732 101325.164062
0.246092 0.030463 101325.164062
0.247695 0.030194 101325.164062
0.249298 0.029925 101325.164062
0.250902 0.029654 101325.164062
0.252505 0.029383 101325.164062
0.254108 0.029112 101325.164062
0.255711 0.028839 101325.164062
0.257314 0.028566 101325.164062
0.258918 0.028293 101325.164062
0.260521 0.028019 101325.164062
0.262124 0.027744 101325.164062
0.263727 0.027469 101325.164062
0.265330 0.027192 101325.164062
0.266934 0.026915 101325.164062
0.268537 0.026638 101325.164062
0.270140 0.026360 101325.164062
0.271743 0.026081 101325.164062
0.273346 0.025802 101325.164062
0.274950 0.025522 101325.164062
0.276553 0.025241 101325.164062
0.278156 0.024959 101325.164062
0.279759 0.024678 101325.164062
0.281362 0.024394 101325.164062
0.282966 0.024111 101325.164062
0.284569 0.023827 101325.164062
0.286172 0.023542 101325.164062
0.287775 0.023257 101325.164062
0.289378 0.022971 101325.164062
0.290982 0.022684 101325.164062
0.292585 0.022397 101325.171875
0.294188 0.022109 101325.171875
0.295791 0.021820 101325.171875
0.297394 0.021530 101325.171875
0.298998 0.021240 101325.171875
0.300602 0.020950 101325.171875
0.302205 0.020658 101325.171875
0.303808 0.020366 101325.171875
0.305411 0.020073 101325.171875
0.307014 0.019779 101325.171875
0.308618 0.019485 101325.171875
0.310221 0.019190 101325.171875
0.311824 0.018894 101325.171875
0.313427 0.018598 101325.171875
0.315030 0.018301 101325.171875
0.316634 0.018003 101325.171875
0.318237 0.017705 101325.171875
0.319840 0.017406 101325.171875
0.321443 0.017106 101325.171875
0.323046 0.016806 101325.171875
0.324650 0.016505 101325.171875
0.326253 0.016202 101325.171875
0.327856 0.015900 101325.171875
0.329459 0.015597 101325.171875
0.331062 0.015293 101325.171875
0.332666 0.014988 101325.171875
0.334269 0.014682 101325.250000
0.335872 0.014376 101325.250000
0.337475 0.014070 101325.250000
0.339078 0.013762 101325.250000
0.340682 0.013454 101325.250000
0.342285 0.013145 101325.250000
0.343888 0.012834 101325.250000
0.345491 0.012524 101325.250000
0.347094 0.012213 101325.250000
0.348698 0.011901 101325.250000
0.350301 0.011588 101325.250000
0.351904 0.011274 101325.250000
0.353507 0.010960 101325.250000
0.355110 0.010646 101325.250000
0.356714 0.010330 101325.250000
0.358317 0.010013 101325.250000
0.359920 0.009696 101325.250000
0.361523 0.009378 101325.250000
0.363126 0.009059 101325.250000
0.364730 0.008739 101325.250000
0.366333 0.008419 101325.250000
0.367936 0.008098 101325.250000
0.369539 0.007777 101325.250000
0.371142 0.007454 101325.250000
0.372746 0.007130 101325.250000
0.374349 0.006806 101325.250000
0.375952 0.006482 101325.226562
0.377555 0.006156 101325.226562
0.379158 0.005829 101325.226562
0.380762 0.005502 101325.226562
0.382365 0.005174 101325.226562
0.383968 0.004845 101325.226562
0.385571 0.004515 101325.226562
0.387174 0.004185 101325.226562
0.388778 0.003854 101325.226562
0.390381 0.003522 101325.226562
0.391984 0.003189 101325.226562
0.393587 0.002855 101325.226562
0.395190 0.002520 101325.226562
0.396794 0.002185 101325.226562
0.398397 0.001849 101325.226562
0.400000 0.001512 101325.226562
-0.400000 0.000000 101325.500000
-0.398397 -0.005162 101325.500000
-0.396794 -0.009663 101325.500000
-0.395190 -0.013562 101325.500000
-0.393587 -0.016914 101325.500000
-0.391984 -0.019777 101325.500000
-0.390381 -0.022208 101325.500000
-0.388778 -0.024263 101325.500000
-0.387174 -0.026001 101325.500000
-0.385571 -0.027476 101325.500000
-0.383968 -0.028746 101325.500000
-0.382365 -0.029870 101325.500000
-0.380762 -0.030902 101325.500000
-0.379158 -0.031898 101325.500000
-0.377555 -0.032886 101325.500000
-0.375952 -0.033863 101325.500000
-0.374349 -0.034829 101325.492188
-0.372746 -0.035782 101325.492188
-0.371142 -0.036718 101325.492188
-0.369539 -0.037638 101325.492188
-0.367936 -0.038540 101325.492188
-0.366333 -0.039420 101325.492188
-0.364730 -0.040277 101325.492188
-0.363126 -0.041110 101325.492188
-0.361523 -0.041916 101325.492188
-0.359920 -0.042694 101325.492188
-0.358317 -0.043442 101325.492188
-0.356714 -0.044163 101325.492188
-0.355110 -0.044857 101325.492188
-0.353507 -0.045526 101325.492188
-0.351904 -0.046171 101325.492188
-0.350301 -0.046794 101325.492188
-0.348698 -0.047398 101325.492188
-0.347094 -0.047984 101325.492188
-0.345491 -0.048554 101325.492188
-0.343888 -0.049108 101325.492188
-0.342285 -0.049649 101325.492188
-0.340682 -0.050178 101325.492188
-0.339078 -0.050698 101325.492188
-0.337475 -0.051208 101325.492188
-0.335872 -0.051709 101325.492188
-0.334269 -0.052202 101325.492188
-0.332666 -0.052685 101325.492188
-0.331062 -0.053159 101325.492188
-0.329459 -0.053624 101325.492188
-0.327856 -0.054081 101325.492188
-0.326253 -0.054529 101325.492188
-0.324650 -0.054968 101325.492188
-0.323046 -0.055398 101325.492188
-0.321443 -0.055820 101325.492188
-0.319840 -0.056233 101325.492188
-0.318237 -0.056638 101325.492188
-0.316634 -0.057034 101325.492188
-0.315030 -0.057422 101325.492188
-0.313427 -0.057802 101325.492188
-0.311824 -0.058174 101325.492188
-0.310221 -0.058538 101325.492188
-0.308618 -0.058894 101325.007812
-0.307014 -0.059244 101325.007812
-0.305411 -0.059586 101325.007812
-0.303808 -0.059920 101325.007812
-0.302205 -0.060248 101325.007812
-0.300602 -0.060569 101325.007812
-0.298998 -0.060882 101325.007812
-0.297394 -0.061190 101325.007812
-0.295791 -0.061491 101325.007812
-0.294188 -0.061786 101325.007812
-0.292585 -0.062074 101325.007812
-0.290982 -0.062357 101324.867188
-0.289378 -0.062634 101324.867188
-0.287775 -0.062905 101324.867188
-0.286172 -0.063170 101324.867188
-0.284569 -0.063430 101324.867188
-0.282966 -0.063686 101324.867188
-0.281362 -0.063935 101324.867188
-0.279759 -0.064181 101324.867188
-0.278156 -0.064421 101324.867188
-0.276553 -0.064656 101324.867188
-0.274950 -0.064886 101324.867188
-0.273346 -0.065113 101324.867188
-0.271743 -0.065334 101324.867188
-0.270140 -0.065551 101324.867188
-0.268537 -0.065764 101324.867188
-0.266934 -0.065972 101324.867188
-0.265330 -0.066175 101324.867188
-0.263727 -0.066374 101324.867188
-0.262124 -0.066570 101324.867188
-0.260521 -0.066760 101324.867188
-0.258918 -0.066946 101324.867188
-0.257314 -0.067129 101324.867188
-0.255711 -0.067307 101324.867188
-0.254108 -0.067482 101324.867188
-0.252505 -0.067652 101324.867188
-0.250902 -0.067818 101324.867188
-0.249298 -0.067981 101324.867188
-0.247695 -0.068139 101324.867188
-0.246092 -0.068294 101324.867188
-0.244489 -0.068445 101324.867188
-0.242886 -0.068592 101324.867188
-0.241282 -0.068736 101324.867188
-0.239679 -0.068876 101324.867188
-0.238076 -0.069012 101324.867188
-0.236473 -0.069146 101324.867188
-0.234870 -0.069274 101324.867188
-0.233266 -0.069401 101324.867188
-0.231663 -0.069523 101324.867188
-0.230060 -0.069642 101324.867188
-0.228457 -0.069758 101324.867188
-0.226854 -0.069871 101324.867188
-0.225250 -0.069981 101324.867188
-0.223647 -0.070086 101324.867188
-0.222044 -0.070190 101324.867188
-0.220441 -0.070290 101324.867188
-0.218838 -0.070386 101324.867188
-0.217234 -0.070479 101324.867188
-0.215631 -0.070570 101324.867188
-0.214028 -0.070657 101324.867188
-0.212425 -0.070741 101324.867188
-0.210822 -0.070822 101324.867188
-0.209218 -0.070901 101324.867188
-0.207615 -0.070976 101324.859375
-0.206012 -0.071049 101324.859375
-0.204409 -0.071118 101324.859375
-0.202806 -0.071186 101324.859375
-0.201202 -0.071250 101324.859375
-0.199599 -0.071311 101324.859375
-0.197996 -0.071370 101324.859375
-0.196393 -0.071426 101324.859375
-0.194790 -0.071479 101324.859375
-0.193186 -0.071530 101324.859375
-0.191583 -0.071578 101324.859375
-0.189980 -0.071623 101324.859375
-0.188377 -0.071666 101324.859375
-0.186774 -0.071706 101324.859375
-0.185170 -0.071744 101324.859375
-0.183567 -0.071780 101324.859375
-0.181964 -0.071813 101324.859375
-0.180361 -0.071843 101324.859375
-0.178758 -0.071870 101324.859375
-0.177154 -0.071896 101324.859375
-0.175551 -0.071919 101324.859375
-0.173948 -0.071940 101324.859375
-0.172345 -0.071958 101324.859375
-0.170742 -0.071974 101324.859375
-0.169138 -0.071988 101324.859375
-0.167535 -0.072000 101324.859375
-0.165932 -0.072009 101325.015625
-0.164329 -0.072016 101325.015625
-0.162726 -0.072021 101325.015625
-0.161122 -0.072023 101325.015625
-0.159519 -0.072024 101325.015625
-0.157916 -0.072022 101325.015625
-0.156313 -0.072018 101325.015625
-0.154710 -0.072013 101325.015625
-0.153106 -0.072004 101325.015625
-0.151503 -0.071994 101325.015625
-0.149900 -0.071982 101325.015625
-0.148297 -0.071968 101325.015625
-0.146694 -0.071951 101325.015625
-0.145090 -0.071933 101325.015625
-0.143487 -0.071913 101325.015625
-0.141884 -0.071890 101325.015625
-0.140281 -0.071866 101325.015625
-0.138678 -0.071839 101325.015625
-0.137074 -0.071811 101325.015625
-0.135471 -0.071781 101325.015625
-0.133868 -0.071749 101325.015625
-0.132265 -0.071714 101325.015625
-0.130662 -0.071678 101325.015625
-0.129058 -0.071641 101325.015625
-0.127455 -0.071601 101325.015625
-0.125852 -0.071559 101325.015625
-0.124249 -0.071516 101324.976562
-0.122646 -0.071470 101324.976562
-0.121042 -0.071423 101324.976562
-0.119439 -0.071374 101324.976562
-0.117836 -0.071324 101324.976562
-0.116233 -0.071271 101324.976562
-0.114630 -0.071217 101324.976562
-0.113026 -0.071161 101324.976562
-0.111423 -0.071103 101324.976562
-0.109820 -0.071043 101324.976562
-0.108217 -0.070982 101324.976562
-0.106614 -0.070919 101324.976562
-0.105010 -0.070854 101324.976562
-0.103407 -0.070789 101324.976562
-0.101804 -0.070721 101324.976562
-0.100201 -0.070651 101324.976562
-0.098597 -0.070580 101324.976562
-0.096994 -0.070507 101324.976562
-0.095390 -0.070433 101324.976562
-0.093787 -0.070357 101324.976562
-0.092184 -0.070279 101324.976562
-0.090581 -0.070200 101324.976562
-0.088978 -0.070119 101324.976562
-0.087374 -0.070038 101324.976562
-0.085771 -0.069954 101324.976562
-0.084168 -0.069868 101324.976562
-0.082565 -0.069782 101324.859375
-0.080962 -0.069694 101324.859375
-0.079358 -0.069604 101324.859375
-0.077755 -0.069513 101324.859375
-0.076152 -0.069421 101324.859375
-0.074549 -0.069326 101324.859375
-0.072946 -0.069231 101324.859375
-0.071342 -0.069134 101324.859375
-0.069739 -0.069036 101324.859375
-0.068136 -0.068937 101324.859375
-0.066533 -0.068836 101324.859375
-0.064930 -0.068734 101324.859375
-0.063326 -0.068630 101324.859375
-0.061723 -0.068525 101324.859375
-0.060120 -0.068418 101324.859375
-0.058517 -0.068310 101324.859375
-0.056914 -0.068202 101324.859375
-0.055310 -0.068091 101324.859375
-0.053707 -0.067979 101324.859375
-0.052104 -0.067866 101324.859375
-0.050501 -0.067752 101324.859375
-0.048898 -0.067636 101324.859375
-0.047294 -0.067519 101324.859375
-0.045691 -0.067401 101324.859375
-0.044088 -0.067282 101324.859375
-0.042485 -0.067161 101324.859375
-0.040882 -0.067039 101324.835938
-0.039278 -0.066916 101324.835938
-0.037675 -0.066791 101324.835938
-0.036072 -0.066666 101324.835938
-0.034469 -0.066538 101324.835938
-0.032866 -0.066410 101324.835938
-0.031262 -0.066281 101324.835938
-0.029659 -0.066150 101324.835938
-0.028056 -0.066018 101324.835938
-0.026453 -0.065886 101324.835938
-0.024850 -0.065751 101324.835938
-0.023246 -0.065616 101324.835938
-0.021643 -0.065479 101324.835938
-0.020040 -0.065342 101324.835938
-0.018437 -0.065203 101324.835938
-0.016834 -0.065063 101324.835938
-0.015230 -0.064922 101324.835938
-0.013627 -0.064780 101324.835938
-0.012024 -0.064637 101324.835938
-0.010421 -0.064493 101324.835938
-0.008818 -0.064347 101324.835938
-0.007214 -0.064201 101324.835938
-0.005611 -0.064053 101324.835938
-0.004008 -0.063904 101324.835938
-0.002405 -0.063754 101324.835938
-0.000802 -0.063604 101324.835938
0.000802 -0.063452 101324.835938
0.002405 -0.063299 101324.835938
0.004008 -0.063146 101324.835938
0.005611 -0.062990 101324.835938
0.007214 -0.062834 101324.835938
0.008818 -0.062678 101324.835938
0.010421 -0.062519 101324.835938
0.012024 -0.062361 101324.835938
0.013627 -0.062201 101324.835938
0.015230 -0.062039 101324.835938
0.016834 -0.061878 101324.835938
0.018437 -0.061714 101324.835938
0.020040 -0.061550 101324.835938
0.021643 -0.061386 101324.835938
0.023246 -0.061220 101324.835938
0.024850 -0.061053 101324.835938
0.026453 -0.060885 101324.835938
0.028056 -0.060716 101324.835938
0.029659 -0.060546 101324.835938
0.031262 -0.060376 101324.835938
0.032866 -0.060204 101324.835938
0.034469 -0.060032 101324.835938
0.036072 -0.059858 101324.835938
0.037675 -0.059684 101324.835938
0.039278 -0.059509 101324.835938
0.040882 -0.059332 101324.835938
0.042485 -0.059155 101324.906250
0.044088 -0.058977 101324.906250
0.045691 -0.058798 101324.906250
0.047294 -0.058618 101324.906250
0.048898 -0.058437 101324.906250
0.050501 -0.058255 101324.906250
0.052104 -0.058073 101324.906250
0.053707 -0.057890 101324.906250
0.055310 -0.057705 101324.906250
0.056914 -0.057520 101324.906250
0.058517 -0.057334 101324.906250
0.060120 -0.057147 101324.906250
0.061723 -0.056959 101324.906250
0.063326 -0.056770 101324.906250
0.064930 -0.056582 101324.906250
0.066533 -0.056391 101324.906250
0.068136 -0.056200 101324.906250
0.069739 -0.056008 101324.906250
0.071342 -0.055815 101324.906250
0.072946 -0.055622 101324.906250
0.074549 -0.055427 101324.906250
0.076152 -0.055232 101324.906250
0.077755 -0.055036 101324.906250
0.079358 -0.054839 101324.906250
0.080962 -0.054642 101324.906250
0.082565 -0.054443 101324.906250
0.084168 -0.054244 101324.804688
0.085771 -0.054044 101324.804688
0.087374 -0.053843 101324.804688
0.088978 -0.053642 101324.804688
0.090581 -0.053439 101324.804688
0.092184 -0.053236 101324.804688
0.093787 -0.053032 101324.804688
0.095390 -0.052827 101324.953125
0.096994 -0.052622 101324.953125
0.098597 -0.052416 101324.953125
0.100201 -0.052209 101324.953125
0.101804 -0.052001 101324.953125
0.103407 -0.051793 101324.953125
0.105010 -0.051583 101324.953125
0.106614 -0.051374 101324.953125
0.108217 -0.051162 101324.953125
0.109820 -0.050951 101324.953125
0.111423 -0.050739 101324.953125
0.113026 -0.050526 101324.953125
0.114630 -0.050312 101324.953125
